country_name,country_code,first_year,last_year,n_years,missing_years_1990_2023,avg_life_exp
Ukraine,UKR,1990,2023,34,0,69.85017647058824
United Arab Emirates,ARE,1990,2023,34,0,78.38585294117648
United Kingdom,GBR,1990,2023,34,0,79.10713629764706
United States,USA,1990,2023,34,0,77.31872309882353
Upper middle income,UMC,1990,2023,34,0,72.4320376782353
Uruguay,URY,1990,2023,34,0,75.61638235294117
Uzbekistan,UZB,1990,2023,34,0,68.34494117647058
Vanuatu,VUT,1990,2023,34,0,69.20167647058824
"Venezuela, RB",VEN,1990,2023,34,0,72.32314705882354
Viet Nam,VNM,1990,2023,34,0,72.84382352941176
Virgin Islands (U.S.),VIR,1990,2023,34,0,76.31966571058824
West Bank and Gaza,PSE,1990,2023,34,0,71.80461764705882
World,WLD,1990,2023,34,0,69.39406536764706
"Yemen, Rep.",YEM,1990,2023,34,0,64.5374705882353
Zambia,ZMB,1990,2023,34,0,53.97070588235294
Zimbabwe,ZWE,1990,2023,34,0,53.27444117647059
